Seq#	Kingdom	Phylum	Class	Order	Family	Genus	Species	V8	V9	V10	V11	V12	V13	V14
Seq_1718	k__Fungi	NA	NA	NA	NA	NA	NA	100	41	41	41	41	41	33
Seq_1719	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA	100	70	27	27	27	27	27
Seq_1720	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	g__Stachybotrys	s__subsylvatica	100	100	97	96	80	77	52
Seq_1721	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA	100	94	64	24	22	6	6
Seq_1722	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	g__Stachybotrys	s__sansevieriae	100	100	100	100	100	100	99
Seq_1723	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Podospora	NA	100	100	100	100	98	98	98
Seq_1724	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__venenatum	100	100	100	100	100	88	53
Seq_1725	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	NA	NA	NA	100	99	91	53	47	35	29
Seq_1726	k__Fungi	NA	NA	NA	NA	NA	NA	100	45	22	22	22	22	22
Seq_1727	k__Fungi	NA	NA	NA	NA	NA	NA	100	46	22	16	16	16	16
Seq_1728	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	73	21	15	12	9	9
Seq_1729	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	87	26	26	26	25	25
Seq_1730	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Glomus	s__aggregatum	100	97	97	97	97	59	51
Seq_1731	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	55	11	10	10	10	10
Seq_1732	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	62	23	5	4	4	4
Seq_1733	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Valsonectria	s__pulchella	100	100	100	100	99	99	99
Seq_1734	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__parapsilosis	100	100	100	100	100	100	78
Seq_1735	k__Fungi	NA	NA	NA	NA	NA	NA	100	21	10	10	10	10	10
Seq_1736	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Cistella	NA	100	100	99	99	80	77	75
Seq_1737	k__Fungi	NA	NA	NA	NA	NA	NA	100	41	14	14	14	14	14
Seq_1738	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	85	49	36	17	17	17
Seq_1739	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	60	31	13	12	12	12
Seq_1740	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	62	40	20	14	7	7
Seq_1741	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiotremataceae	g__Lophiotrema	s__rubi	100	100	94	94	92	92	92
Seq_1742	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideomycetes_ord_Incertae_sedis	f__Eremomycetaceae	g__Arthrographis	s__globosa	100	100	99	99	99	99	88
Seq_1743	k__Fungi	p__Ascomycota	c__Leotiomycetes	NA	NA	NA	NA	100	99	93	64	64	64	64
Seq_1744	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	g__Iodophanus	s__carneus	100	100	99	83	83	83	69
Seq_1745	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	51	21	15	9	5	5
Seq_1746	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	82	18	12	12	12	12
Seq_1747	k__Fungi	NA	NA	NA	NA	NA	NA	100	43	13	13	13	12	12
Seq_1748	k__Fungi	NA	NA	NA	NA	NA	NA	100	9	8	8	8	8	8
Seq_1749	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA	100	100	92	92	46	46	46
Seq_1750	k__Fungi	NA	NA	NA	NA	NA	NA	100	49	30	17	14	14	14
Seq_1751	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Bradymyces	NA	100	100	100	100	100	100	63
Seq_1752	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	55	28	17	17	16	16
Seq_1753	k__Fungi	NA	NA	NA	NA	NA	NA	100	45	9	8	6	6	6
Seq_1754	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA	100	86	55	53	30	15	10
Seq_1755	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	95	28	5	5	5	5
Seq_1756	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Chrysozymaceae	g__Udeniozyma	NA	100	95	91	90	90	83	58
Seq_1757	k__Fungi	NA	NA	NA	NA	NA	NA	100	40	14	12	12	12	12
