Sample name,Workshop,Season,Run,Type,Sample type,Field,Field,Replicate,Control,Weight extracted (g),Extr. Date,Elution volume (ml),Dilution,Conc. (ng/ul),ng DNA,ng DNA g-1,260/280 [nm],260/230 [nm],Nanodrop Conc. (ng/ul),PCR products_ITS_send for seq,Gene,Read1_file
GA6,2,Spring,2,Teabag,Green tea,Auboden,Fluvisol,2,FALSE,0.2,3.7.2018,100,1,360,36004.9,176494.6,1.89,2.05,185.6,13.7.2018; 31.7.2018,ITS,Petrova011-GA6_S213_L001_R1_001.fastq.gz
GA7,2,Spring,2,Teabag,Green tea,Auboden,Fluvisol,3,FALSE,0.21,3.7.2018,100,1,377,37745.3,177207.8,1.9,2.06,219.5,13.7.2018; 31.7.2018,ITS,Petrova019-GA7_S221_L001_R1_001.fastq.gz
GA8,2,Spring,2,Teabag,Green tea,Auboden,Fluvisol,4,FALSE,0.21,3.7.2018,100,1,289,28854.6,140070.7,1.86,1.91,188.3,13.7.2018; 31.7.2018,ITS,Petrova026-GA8_S228_L001_R1_001.fastq.gz
RA5,2,Spring,2,Teabag,Rooibos,Auboden,Fluvisol,1,FALSE,0.2,3.7.2018,100,1,14,1360.2,6835.4,1.79,1.35,16.2,13.7.2018; 31.7.2018,ITS,Petrova006-RA5_S208_L001_R1_001.fastq.gz
RA6,2,Spring,2,Teabag,Rooibos,Auboden,Fluvisol,2,FALSE,0.22,3.7.2018,100,1,71,7092.7,32093.7,1.8,1.42,35.2,13.7.2018; 31.7.2018,ITS,Petrova012-RA6_S214_L001_R1_001.fastq.gz
RA7,2,Spring,2,Teabag,Rooibos,Auboden,Fluvisol,3,FALSE,0.23,3.7.2018,100,1,20,2028.5,9015.5,1.67,1.32,12.7,13.7.2018; 31.7.2018,ITS,Petrova020-RA7_S222_L001_R1_001.fastq.gz
RA8,2,Spring,2,Teabag,Rooibos,Auboden,Fluvisol,4,FALSE,0.25,3.7.2018,100,1,42,4184.3,17078.9,1.81,1.45,30.8,13.7.2018; 31.7.2018,ITS,Petrova027-RA8_S229_L001_R1_001.fastq.gz
K1-2-1,2,Spring,2,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.26,3.7.2018,100,1,23,2336.5,8883.9,1.86,1.6,25.7,13.7.2018; 1.8.2018,ITS,Petrova007-K1-2-1_S209_L001_R1_001.fastq.gz
B1-2-1,2,Spring,2,Soil,Soil,Braunerde,Cambisol,1,FALSE,0.28,3.7.2018,100,1,133,13263.9,48232.3,1.83,1.95,66,13.7.2018; 1.8.2018,ITS,Petrova013-B1-2-1_S215_L001_R1_001.fastq.gz
A1-2-1,2,Spring,2,Soil,Soil,Auboden,Luvisol,1,FALSE,0.25,3.7.2018,100,1,86,8618.1,34610.7,1.87,1.73,41.6,13.7.2018; 1.8.2018,ITS,Petrova021-A1-2-1_S223_L001_R1_001.fastq.gz
blank extraction,2,Spring,2,Control,Control,NA,NA,1,TRUE,NA,3.7.2018,100,1,0,NA,NA,2.86,0.52,1.5,13.7.2018; 31.7.2018,ITS,Petrova008-blank-extr_S210_L001_R1_001.fastq.gz
K1-2-2,2,Spring,2,Soil,Soil,Kolluvisol,Luvisol,2,FALSE,0.26,1.8.2018,100,1,28,2800,10894.9,1.84,1.39,23.7,8.8.2018; 10.8.2018,ITS,Petrova029-K1-2-2_S231_L001_R1_001.fastq.gz
B1-2-2,2,Spring,2,Soil,Soil,Braunerde,Cambisol,2,FALSE,0.25,1.8.2018,100,1,46,4600,18254,1.84,1.86,37.2,8.8.2018; 10.8.2018,ITS,Petrova032-B1-2-2_S234_L001_R1_001.fastq.gz
A1-2-2,2,Spring,2,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.26,1.8.2018,100,1,25,2500,9727.6,1.87,1.6,25.3,8.8.2018; 10.8.2018,ITS,Petrova035-A1-2-2_S237_L001_R1_001.fastq.gz
A1-2-2,2,Spring,3,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.26,1.8.2018,100,1,25,2500,9727.6,1.87,1.6,25.3,8.8.2018; 10.8.2018,ITS,Roey034-A1-2-2_S179_L001_R1_001.fastq.gz
NTC,2,Spring,2,Control,Control,NA,NA,1,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,ITS,Petrova014-NTC_S216_L001_R1_001.fastq.gz
GK9,3,Summer,3,Teabag,Green tea,Kolluvisol,Luvisol,1,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,ITS,NA
GK10,3,Summer,3,Teabag,Green tea,Kolluvisol,Luvisol,2,FALSE,0.24,22.10.2018,100,1,103,10300,42916666.67,1.87,1.94,173.2,29.11.2018; 30.11.2018,ITS,Roey002-GK10_S147_L001_R1_001.fastq.gz
RK11 (GK11),3,Summer,3,Teabag,Green tea,Kolluvisol,Luvisol,3,FALSE,0.22,22.10.2018,100,1,105,10498.6,47720896.5,1.89,2.04,177.9,29.11.2018; 30.11.2018,ITS,Roey007-RK11-GK11_S152_L001_R1_001.fastq.gz
GK12,3,Summer,3,Teabag,Green tea,Kolluvisol,Luvisol,4,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,ITS,NA
RK9,3,Summer,3,Teabag,Rooibos,Kolluvisol,Luvisol,1,FALSE,0.23,22.10.2018,100,1,37,3702.8,16098940.27,1.84,1.91,65.8,29.11.2018; 30.11.2018,ITS,Roey005-RK9_S150_L001_R1_001.fastq.gz
RK10,3,Summer,3,Teabag,Rooibos,Kolluvisol,Luvisol,2,FALSE,0.24,22.10.2018,100,1,41,4097.5,17072930.37,1.87,1.84,78,29.11.2018; 30.11.2018,ITS,Roey006-RK10_S151_L001_R1_001.fastq.gz
RK11,3,Summer,3,Teabag,Rooibos,Kolluvisol,Luvisol,3,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,ITS,NA
RK12,3,Summer,3,Teabag,Rooibos,Kolluvisol,Luvisol,4,FALSE,0.26,22.10.2018,100,1,30,3008.7,11572015.04,1.87,1.73,51,29.11.2018; 30.11.2018,ITS,Roey008-RK12_S153_L001_R1_001.fastq.gz
GB9,3,Summer,3,Teabag,Green tea,Braunerde,Cambisol,1,FALSE,0.2,22.10.2018,100,1,133,13326.3,66631637.81,1.9,1.97,225,29.11.2018; 30.11.2018,ITS,Roey009-GB9_S154_L001_R1_001.fastq.gz
GB10,3,Summer,3,Teabag,Green tea,Braunerde,Cambisol,2,FALSE,0.24,22.10.2018,100,1,108,10797.9,44991177.32,1.89,1.98,180,29.11.2018; 30.11.2018,ITS,Roey010-GB10_S155_L001_R1_001.fastq.gz
GB11,3,Summer,3,Teabag,Green tea,Braunerde,Cambisol,3,FALSE,0.21,23.10.2018,100,1,69,6902,32866729.57,2.01,1.78,139.3,29.11.2018; 30.11.2018,ITS,Roey011-GB11_S156_L001_R1_001.fastq.gz
GB12,3,Summer,3,Teabag,Green tea,Braunerde,Cambisol,4,FALSE,0.23,23.10.2018,100,1,76,7590.9,33003849.88,2.04,1.76,159.1,29.11.2018; 30.11.2018,ITS,Roey012-GB12_S157_L001_R1_001.fastq.gz
RB9,3,Summer,3,Teabag,Rooibos,Braunerde,Cambisol,1,FALSE,0.24,23.10.2018,100,1,45,4531,18878962.52,2.05,1.96,81.7,29.11.2018; 30.11.2018,ITS,Roey013-RB9_S158_L001_R1_001.fastq.gz
RB10,3,Summer,3,Teabag,Rooibos,Braunerde,Cambisol,2,FALSE,0.24,23.10.2018,100,1,22,2180.5,9085538.2,2.03,1.68,49.4,29.11.2018; 30.11.2018,ITS,Roey014-RB10_S159_L001_R1_001.fastq.gz
RB11,3,Summer,3,Teabag,Rooibos,Braunerde,Cambisol,3,FALSE,0.25,23.10.2018,100,1,59,5942.2,23768944.5,2.05,1.87,98,29.11.2018; 30.11.2018,ITS,Roey015-RB11_S160_L001_R1_001.fastq.gz
RB12,3,Summer,3,Teabag,Rooibos,Braunerde,Cambisol,4,FALSE,0.23,23.10.2018,100,1,55,5477.8,23816642.87,2.02,1.81,91.2,29.11.2018; 30.11.2018,ITS,Roey016-RB12_S161_L001_R1_001.fastq.gz
GA9,3,Summer,3,Teabag,Green tea,Auboden,Fluvisol,1,FALSE,0.25,23.10.2018,100,1,112,11190,44760198.15,2.07,1.99,91.2,29.11.2018; 30.11.2018,ITS,Roey017-GA9_S162_L001_R1_001.fastq.gz
GA10,3,Summer,3,Teabag,Green tea,Auboden,Fluvisol,2,FALSE,0.23,23.10.2018,100,1,94,9404.7,40889816.33,2.05,1.87,154.5,29.11.2018; 30.11.2018,ITS,Roey018-GA10_S163_L001_R1_001.fastq.gz
GA11,3,Summer,3,Teabag,Green tea,Auboden,Fluvisol,3,FALSE,0.26,23.10.2018,100,1,94,9358.2,35993142.04,2.06,1.91,154,29.11.2018; 30.11.2018,ITS,Roey019-GA11_S164_L001_R1_001.fastq.gz
GA12,3,Summer,3,Teabag,Green tea,Auboden,Fluvisol,4,FALSE,0.24,23.10.2018,100,1,110,11006.9,45861942.82,2.08,2.01,180.6,29.11.2018; 30.11.2018,ITS,Roey020-GA12_S165_L001_R1_001.fastq.gz
RA9,3,Summer,3,Teabag,Rooibos,Auboden,Fluvisol,1,FALSE,0.23,23.10.2018,100,1,48,4783.8,20799110.89,2.06,1.96,78.6,29.11.2018; 30.11.2018,ITS,Roey021-RA9_S166_L001_R1_001.fastq.gz
RA10,3,Summer,3,Teabag,Rooibos,Auboden,Fluvisol,2,FALSE,0.23,23.10.2018,100,1,52,5165.6,22459314.36,2.09,1.9,81.7,29.11.2018; 30.11.2018,ITS,Roey022-RA10_S167_L001_R1_001.fastq.gz
RA11,3,Summer,3,Teabag,Rooibos,Auboden,Fluvisol,3,FALSE,0.26,14.11.2018,100,1,52,5181,19926860.98,1.9,2.03,65.4,29.11.2018; 30.11.2018,ITS,Roey023-RA11_S168_L001_R1_001.fastq.gz
RA12,3,Summer,3,Teabag,Rooibos,Auboden,Fluvisol,4,FALSE,0.24,14.11.2018,100,1,55,5455.2,22730007.57,1.87,2.01,74.3,29.11.2018; 30.11.2018,ITS,Roey024-RA12_S169_L001_R1_001.fastq.gz
K1-3-1,3,Summer,3,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.24,14.11.2018,100,1,18,1783.4,7430856.88,1.76,1.95,20.4,29.11.2018; 30.11.2018,ITS,Roey025-K1-3-1_S170_L001_R1_001.fastq.gz
K1-3-2,3,Summer,3,Soil,Soil,Kolluvisol,Luvisol,2,FALSE,0.25,14.11.2018,100,1,19,1874,7495882.95,1.84,2.21,20.2,29.11.2018; 30.11.2018,ITS,Roey026-K1-3-2_S171_L001_R1_001.fastq.gz
K1-3-3,3,Summer,3,Soil,Soil,Kolluvisol,Luvisol,3,FALSE,0.26,14.11.2018,100,1,22,2161.1,8311748.04,1.85,1.75,25.1,29.11.2018; 30.11.2018,ITS,Roey027-K1-3-3_S172_L001_R1_001.fastq.gz
B1-3-1,3,Summer,3,Soil,Soil,Braunerde,Cambisol,1,FALSE,0.25,14.11.2018,100,1,43,4338.7,17354611.5,1.87,1.9,54,29.11.2018; 30.11.2018,ITS,Roey028-B1-3-1_S173_L001_R1_001.fastq.gz
B1-3-2,3,Summer,3,Soil,Soil,Braunerde,Cambisol,2,FALSE,0.26,14.11.2018,100,1,42,4246.3,16332007.3,1.87,1.88,53.5,29.11.2018; 30.11.2018,ITS,Roey029-B1-3-2_S174_L001_R1_001.fastq.gz
B1-3-3,3,Summer,3,Soil,Soil,Braunerde,Cambisol,3,FALSE,0.26,14.11.2018,100,1,44,4394.7,16902526.59,1.86,1.95,54.8,29.11.2018; 30.11.2018,ITS,Roey030-B1-3-3_S175_L001_R1_001.fastq.gz
A1-3-1,3,Summer,3,Soil,Soil,Auboden,Fluvisol,1,FALSE,0.24,14.11.2018,100,1,35,3471.1,14462895.22,1.85,1.77,43.2,29.11.2018; 30.11.2018,ITS,Roey031-A1-3-1_S176_L001_R1_001.fastq.gz
A1-3-2,3,Summer,3,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.24,14.11.2018,100,1,35,3504.6,14602695.09,1.86,1.8,43.1,29.11.2018; 30.11.2018,ITS,Roey032-A1-3-2_S177_L001_R1_001.fastq.gz
A1-3-3,3,Summer,3,Soil,Soil,Auboden,Fluvisol,3,FALSE,0.24,14.11.2018,100,1,35,3511.5,14631075.51,1.8,1.75,40.2,29.11.2018; 30.11.2018,ITS,Roey033-A1-3-3_S178_L001_R1_001.fastq.gz
blank extr.,3,Summer,3,Control,Control,NA,NA,1,TRUE,NA,14.11.2018,100,1,0,NA,NA,NA,NA,0,29.11.2018; 30.11.2018,ITS,Roey037-Extr-CTRL_S182_L001_R1_001.fastq.gz
NTC,3,Summer,3,Control,Control,NA,NA,1,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,ITS,Roey038-CTRL_S183_L001_R1_001.fastq.gz
RK13,4,Autumn,4,Teabag,Rooibos,Kolluvisol,Luvisol,1,FALSE,0.27,31.1.2019,100,1,35,3494.4,12942.21,1.78,1.42,50.1,15.2.2019,ITS,Angel-ITS031-RK13_S31_L001_R1_001.fastq.gz
RK14,4,Autumn,4,Teabag,Rooibos,Kolluvisol,Luvisol,2,FALSE,0.27,31.1.2019,100,1,28,2790.1,10333.7,1.72,1.41,33.5,15.2.2019,ITS,Angel-ITS032-RK14_S32_L001_R1_001.fastq.gz
RK15,4,Autumn,4,Teabag,Rooibos,Kolluvisol,Luvisol,3,FALSE,0.24,31.1.2019,100,1,36,3641.4,15172.54,1.86,2.25,59.6,15.2.2019,ITS,Angel-ITS033-RK15_S33_L001_R1_001.fastq.gz
RK16,4,Autumn,4,Teabag,Rooibos,Kolluvisol,Luvisol,4,FALSE,0.26,31.1.2019,100,1,21,2106.3,8101.21,1.72,1.66,24.1,15.2.2019,ITS,Angel-ITS034-RK16_S34_L001_R1_001.fastq.gz
GK13,4,Autumn,4,Teabag,Green tea,Kolluvisol,Luvisol,1,FALSE,0.28,31.1.2019,100,1,61,6089.4,21747.7,1.84,2.14,84.7,14.2.2019,ITS,Angel-ITS018-GK13_S18_L001_R1_001.fastq.gz
