"","OTU","baseMean","effect","Order","Class","Family","Genus"
"Seq_70","Seq_70",0.372129949358679,1.56869147084611,"Helotiales","Leotiomycetes","Unclassified","Unclassified"
"Seq_17","Seq_17",1.85008868133164,1.51659630724024,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_95","Seq_95",0.168575054087476,1.48003804724292,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_11","Seq_11",3.61254033717856,-1.4548721210901,"Pleosporales","Dothideomycetes","Pleosporaceae","Alternaria"
"Seq_107","Seq_107",0.149510589019817,1.41905572803383,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_67","Seq_67",0.357410675337766,1.41196460389049,"Helotiales","Leotiomycetes","Hyaloscyphaceae","Pezizella"
"Seq_29","Seq_29",0.526585635529897,1.38225757538582,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_80","Seq_80",0.355142394778606,1.36979786030384,"Rare","Laboulbeniomycetes","Unclassified","Unclassified"
"Seq_64","Seq_64",0.393534682585379,1.32568377796753,"Rare","Pezizomycetes","Pyronemataceae","Unclassified"
"Seq_74","Seq_74",0.275862334704561,-1.30369307950053,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_212","Seq_212",0.0519291421276251,-1.21414552779075,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_123","Seq_123",0.119132802602262,-1.17671051197997,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_302","Seq_302",0.0499441165930351,-1.17299731855717,"Rare","Saccharomycetes","Debaryomycetaceae","Schwanniomyces"
"Seq_36","Seq_36",0.628736414055059,1.10229554698541,"Rare","Dothideomycetes","Mycosphaerellaceae","Mycosphaerella"
"Seq_108","Seq_108",0.328056219255607,-1.05879206450463,"Xylariales","Sordariomycetes","Microdochiaceae","Idriella"
"Seq_119","Seq_119",0.143288755959197,1.04068963168295,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
"Seq_101","Seq_101",0.316510403142835,-1.03971099066064,"Pleosporales","Dothideomycetes","Didymosphaeriaceae","Pseudopithomyces"
"Seq_127","Seq_127",0.0568906846716397,-1.01896152438053,"Pleosporales","Dothideomycetes","Cucurbitariaceae","Pyrenochaetopsis"
"Seq_87","Seq_87",0.348005122878999,-1.00392783517459,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_134","Seq_134",0.0812770435123659,-0.984247715689786,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_240","Seq_240",0.0493771195851039,0.98296346895452,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_85","Seq_85",0.260161362899095,0.96617194809849,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_23","Seq_23",0.0384081892759386,-0.941826689177664,"Rare","Sordariomycetes","Unclassified","Unclassified"
