"","OTU","baseMean","effect","Order","Class","Family","Genus"
"Seq_143","Seq_143",0.0195778948039637,-0.63052156738471,"Hypocreales","Sordariomycetes","Bionectriaceae","Clonostachys"
"Seq_615","Seq_615",0.0281846446967604,-0.592483853161782,"Hypocreales","Sordariomycetes","Hypocreales_fam_Incertae_sedis","Acremonium"
"Seq_154","Seq_154",0.099339433846935,0.590503260931519,"Helotiales","Leotiomycetes","Sclerotiniaceae","Botrytis"
"Seq_118","Seq_118",0.021330249256668,-0.579001722007864,"Hypocreales","Sordariomycetes","Unclassified","Unclassified"
"Seq_220","Seq_220",0.07840862454223,-0.57737910646609,"Helotiales","Leotiomycetes","Helotiaceae","Scytalidium"
"Seq_117","Seq_117",0.168309702673229,-0.567384973549498,"Pleosporales","Dothideomycetes","Didymosphaeriaceae","Pseudopithomyces"
"Seq_384","Seq_384",0.027881350011113,0.557092048455598,"Rare","Microbotryomycetes","Sporidiobolaceae","Rhodosporidiobolus"
"Seq_92","Seq_92",0.0746815305791561,-0.547050882308681,"Rare","Sordariomycetes","Unclassified","Unclassified"
"Seq_155","Seq_155",0.448806071702722,-0.546439151592488,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_72","Seq_72",0.201430106299732,0.538162431146442,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_294","Seq_294",0.0188573370740525,0.521357753556893,"Helotiales","Leotiomycetes","Helotiaceae","Articulospora"
"Seq_41","Seq_41",0.0475513485940956,0.519006605579633,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_132","Seq_132",0.137714925549813,0.498376030387417,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_66","Seq_66",0.370232242460036,-0.379685921029227,"Rare","Dothideomycetes","Cladosporiaceae","Cladosporium"
