Sample name,Workshop,Season,Run,Type,Sample type,Field (German),Field,Replicate,Control,Weight extracted (g),Extr. Date,Elution volume (ml),Dilution,Conc. (ng/ul),ng DNA,ng DNA g-1,260/280 [nm],260/230 [nm],Nanodrop Conc. (ng/ul),PCR products_16S_send for seq,Gene,Read1_file
GA1,1,Winter,2,Teabag,Green tea,Auboden,Fluvisol,1,FALSE,0.26,19.4.2018,100,1,103,10900.9,41926.5,1.84,1.95,143,25.4.2018; 26.4.2018; 27.4.2018,16S,Re-Eva5-GA1_S5_L001_R1_001.fastq.gz
GA2,1,Winter,1,Teabag,Green tea,Auboden,Fluvisol,2,FALSE,0.26,19.4.2018,100,1,89,2441.2,9389.4,1.84,1.93,134,27.4.2018; 2.5.2018; 3.5.2018,16S,Eva13-GA2_S195_L001_R1_001.fastq.gz
GA2,1,Winter,2,Teabag,Green tea,Auboden,Fluvisol,2,FALSE,0.26,19.4.2018,100,1,89,2441.2,9389.4,1.84,1.93,134,27.4.2018; 2.5.2018; 3.5.2018,16S,Re-Eva13-GA2_S13_L001_R1_001.fastq.gz
GA3,1,Winter,1,Teabag,Green tea,Auboden,Fluvisol,3,FALSE,0.25,19.4.2018,100,1,86,2441.2,9765,1.86,2.02,127,27.4.2018; 3.5.2018,16S,Eva21-GA3_S203_L001_R1_001.fastq.gz
GA3,1,Winter,2,Teabag,Green tea,Auboden,Fluvisol,3,FALSE,0.25,19.4.2018,100,1,86,2441.2,9765,1.86,2.02,127,27.4.2018; 3.5.2018,16S,Re-Eva21-GA3_S21_L001_R1_001.fastq.gz
GA4,1,Winter,1,Teabag,Green tea,Auboden,Fluvisol,4,FALSE,0.26,19.4.2018,100,1,81,2207.5,8490.3,1.85,1.95,115,26.4.2018; 27.4.2018,16S,Eva29-GA4_S211_L001_R1_001.fastq.gz
GA4,1,Winter,2,Teabag,Green tea,Auboden,Fluvisol,4,FALSE,0.26,19.4.2018,100,1,81,2207.5,8490.3,1.85,1.95,115,26.4.2018; 27.4.2018,16S,Re-Eva29-GA4_S29_L001_R1_001.fastq.gz
RA1,1,Winter,1,Teabag,Rooibos,Auboden,Fluvisol,1,FALSE,0.26,19.4.2018,100,1,33,2207.5,8490.3,1.73,1.3,59,25.4.2018; 2.5.2018; 3.5.2018,16S,Eva6-RA1_S188_L001_R1_001.fastq.gz
RA1,1,Winter,2,Teabag,Rooibos,Auboden,Fluvisol,1,FALSE,0.26,19.4.2018,100,1,33,2207.5,8490.3,1.73,1.3,59,25.4.2018; 2.5.2018; 3.5.2018,16S,Re-Eva6-RA1_S6_L001_R1_001.fastq.gz
RA2,1,Winter,1,Teabag,Rooibos,Auboden,Fluvisol,2,FALSE,0.25,19.4.2018,100,1,26,3184.8,12739.3,1.58,0.75,56,3.5.2018; 4.5.2018,16S,Eva14-RA2_S196_L001_R1_001.fastq.gz
RA2,1,Winter,2,Teabag,Rooibos,Auboden,Fluvisol,2,FALSE,0.25,19.4.2018,100,1,26,3184.8,12739.3,1.58,0.75,56,3.5.2018; 4.5.2018,16S,Re-Eva14-RA2_S14_L001_R1_001.fastq.gz
RA3,1,Winter,1,Teabag,Rooibos,Auboden,Fluvisol,3,FALSE,0.27,19.4.2018,100,1,28,3321.6,12302.3,1.68,0.98,52,2.5.2018; 3.5.2018,16S,Eva22-RA3_S204_L001_R1_001.fastq.gz
RA3,1,Winter,2,Teabag,Rooibos,Auboden,Fluvisol,3,FALSE,0.27,19.4.2018,100,1,28,3321.6,12302.3,1.68,0.98,52,2.5.2018; 3.5.2018,16S,Re-Eva22-RA3_S22_L001_R1_001.fastq.gz
RA4,1,Winter,1,Teabag,Rooibos,Auboden,Fluvisol,4,FALSE,0.25,19.4.2018,100,1,23,10299,41196.2,1.57,0.75,46,3.5.2018; 4.5.2018,16S,Eva30-RA4_S212_L001_R1_001.fastq.gz
RA4,1,Winter,2,Teabag,Rooibos,Auboden,Fluvisol,4,FALSE,0.25,19.4.2018,100,1,23,10299,41196.2,1.57,0.75,46,3.5.2018; 4.5.2018,16S,Re-Eva30-RA4_S30_L001_R1_001.fastq.gz
K1,1,Winter,1,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.26,19.4.2018,100,1,18,8891.4,34197.8,1.57,1.55,30,25.4.2018; 26.4.2018; 27.4.2018,16S,Eva7-K1_S189_L001_R1_001.fastq.gz
K1,1,Winter,2,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.26,19.4.2018,100,1,18,8891.4,34197.8,1.57,1.55,30,25.4.2018; 26.4.2018; 27.4.2018,16S,Re-Eva7-K1_S7_L001_R1_001.fastq.gz
B1,1,Winter,1,Soil,Soil,Braunerde,Cambisol,1,FALSE,0.26,19.4.2018,100,1,28,10299,39611.7,1.77,1.72,47,25.4.2018; 27.4.2018,16S,Eva15-B1_S197_L001_R1_001.fastq.gz
B1,1,Winter,2,Soil,Soil,Braunerde,Cambisol,1,FALSE,0.26,19.4.2018,100,1,28,10299,39611.7,1.77,1.72,47,25.4.2018; 27.4.2018,16S,Re-Eva15-B1_S15_L001_R1_001.fastq.gz
A1,1,Winter,1,Soil,Soil,Auboden,Fluvisol,1,FALSE,0.23,19.4.2018,100,1,11,8891.4,38658.4,1.81,1.54,20,25.4.2018; 27.4.2018,16S,Eva23-A1_S205_L001_R1_001.fastq.gz
A1,1,Winter,2,Soil,Soil,Auboden,Fluvisol,1,FALSE,0.23,19.4.2018,100,1,11,8891.4,38658.4,1.81,1.54,20,25.4.2018; 27.4.2018,16S,Re-Eva23-A1_S23_L001_R1_001.fastq.gz
A1-1-2,1,Winter,3,Soil,Soil,Kolluvisol,Luvisol,2,FALSE,0.27,1.8.2018,100,1,19,8600,9675.16,1.85,1.59,34.2,10.8.2018,16S,Eva32_A1-1-2_S241_L001_R1_001.fastq.gz
B1-1-2,1,Winter,3,Soil,Soil,Braunerde,Cambisol,2,FALSE,0.26,1.8.2018,100,1,56,8100,10492.65,1.83,1.79,39.5,10.8.2018,16S,Eva29_B1-1-2_S238_L001_R1_001.fastq.gz
K1-1-2,1,Winter,3,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.26,1.8.2018,100,1,35,3300,8972.64,1.83,1.6,24.4,10.8.2018,16S,Eva26_K1-1-2_S235_L001_R1_001.fastq.gz
RF,1,Winter,1,Teabag,Rooibos,Unburied,Unburied,1,Biological,0.26,19.4.2018,100,1,0,8563.2,32935.2,0.79,0.19,3,25.4.2018; 27.4.2018,16S,Eva8-RF-K_S190_L001_R1_001.fastq.gz
RF,1,Winter,2,Teabag,Rooibos,Unburied,Unburied,1,Biological,0.26,19.4.2018,100,1,0,8563.2,32935.2,0.79,0.19,3,25.4.2018; 27.4.2018,16S,Re-Eva8-RF-K_S8_L001_R1_001.fastq.gz
GF,1,Winter,1,Teabag,Green tea,Unburied,Unburied,1,Biological,0.25,19.4.2018,100,1,0,3286.8,13147.2,1.22,0.26,4.4,NA,16S,Eva16-GF_S198_L001_R1_001.fastq.gz
GF,1,Winter,2,Teabag,Green tea,Unburied,Unburied,1,Biological,0.25,19.4.2018,100,1,0,3286.8,13147.2,1.22,0.26,4.4,NA,16S,Re-Eva16-GF_S16_L001_R1_001.fastq.gz
NTC,1,Winter,1,Control,Control,NA,NA,1,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,25.4.2018; 27.4.2018,16S,Eva24-NTC_S206_L001_R1_001.fastq.gz
NTC,1,Winter,2,Control,Control,NA,NA,1,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,25.4.2018; 27.4.2018,16S,Re-Eva24-NTC_S24_L001_R1_001.fastq.gz
GK5,2,Spring,4,Teabag,Green tea,Kolluvisol,Luvisol,1,FALSE,0.22,22.10.2018,100,1,14,1400,6363636.36,1.91,1.89,63.1,26.11.2018; 28.11.2018,16S,Angel001-GK5_S246_L001_R1_001.fastq.gz
GK6,2,Spring,3,Teabag,Green tea,Kolluvisol,Luvisol,2,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16S,NA
GK7,2,Spring,3,Teabag,Green tea,Kolluvisol,Luvisol,3,FALSE,0.25,3.7.2018,100,1,240,23964.7,96631.8,1.89,2.05,128,10.7.2018; 12.7.2018,16S,Eva13_GK7_S222_L001_R1_001.fastq.gz
GK8,2,Spring,3,Teabag,Green tea,Kolluvisol,Luvisol,4,FALSE,0.21,3.7.2018,100,1,268,26797.5,128217.7,1.9,2.01,138.5,10.7.2018 ; 12.7.2018,16S,Eva20_GK8_S229_L001_R1_001.fastq.gz
RK5,2,Spring,4,Teabag,Rooibos,Kolluvisol,Luvisol,1,FALSE,0.24,22.10.2018,100,1,5,500,2083333.33,1.67,0.87,12.3,26.11.2018; 28.11.2018,16S,Angel003-RK5_S248_L001_R1_001.fastq.gz
RK6,2,Spring,4,Teabag,Rooibos,Kolluvisol,Luvisol,2,FALSE,0.24,22.10.2018,100,1,13,1300,5416666.67,1.81,1.19,26.3,26.11.2018; 28.11.2018,16S,Angel004-RK6_S249_L001_R1_001.fastq.gz
RK7,2,Spring,3,Teabag,Rooibos,Kolluvisol,Luvisol,3,FALSE,0.22,3.7.2018,100,1,43,4320.9,19551.6,1.82,1.15,53.6,9.7.2018; 10.7.2018; 12.7.2018,16S,Eva14_RK7_S223_L001_R1_001.fastq.gz
RK8,2,Spring,3,Teabag,Rooibos,Kolluvisol,Luvisol,4,FALSE,0.26,3.7.2018,100,1,41,4079.7,15691.3,1.88,1.28,37.4,10.7.2018; 12.7.2018,16S,Eva21_RK8_S230_L001_R1_001.fastq.gz
GB5,2,Spring,3,Teabag,Green tea,Braunerde,Cambisol,1,FALSE,0.25,3.7.2018,100,1,313,31301,124705,1.89,2.12,190.2,9.7.2018; 10.7.2018; 12.7.2018,16S,Eva1_GB5_S210_L001_R1_001.fastq.gz
GB6,2,Spring,3,Teabag,Green tea,Braunerde,Cambisol,2,FALSE,0.25,3.7.2018,100,1,311,31141.2,126077.6,1.89,2.03,125.3,10.7.2018; 12.7.2018,16S,Eva7_GB6_S216_L001_R1_001.fastq.gz
GB7,2,Spring,3,Teabag,Green tea,Braunerde,Cambisol,3,FALSE,0.21,3.7.2018,100,1,217,21666.5,103667.3,1.9,2.02,180.5,10.7.2018; 12.7.2018,16S,Eva15_GB7_S224_L001_R1_001.fastq.gz
GB8,2,Spring,3,Teabag,Green tea,Braunerde,Cambisol,4,FALSE,0.21,3.7.2018,100,1,220,22003.5,104282,1.87,1.98,156.1,10.7.2018; 12.7.2018,16S,Eva22_GB8_S231_L001_R1_001.fastq.gz
RB5,2,Spring,3,Teabag,Rooibos,Braunerde,Cambisol,1,FALSE,0.24,3.7.2018,100,1,45,4451.6,18704.4,1.93,1.51,48.7,9.7.2018; 10.7.2018; 12.7.2018,16S,Eva2_RB5_S211_L001_R1_001.fastq.gz
RB6,2,Spring,3,Teabag,Rooibos,Braunerde,Cambisol,2,FALSE,0.23,3.7.2018,100,1,30,3030.9,13470.6,1.98,1.3,22.7,10.7.2018; 12.7.2018,16S,Eva8_RB6_S217_L001_R1_001.fastq.gz
RB7,2,Spring,3,Teabag,Rooibos,Braunerde,Cambisol,3,FALSE,0.27,3.7.2018,100,1,33,3321.4,12533.7,1.9,1.64,37.6,10.7.2018; 12.7.2018,16S,Eva16_RB7_S225_L001_R1_001.fastq.gz
RB8,2,Spring,3,Teabag,Rooibos,Braunerde,Cambisol,4,FALSE,0.24,3.7.2018,100,1,26,2612.5,11117,1.9,1.83,23.3,10.7.2018; 12.7.2018,16S,Eva23_RB8_S232_L001_R1_001.fastq.gz
GA5,2,Spring,3,Teabag,Green tea,Auboden,Fluvisol,1,FALSE,0.22,3.7.2018,100,1,203,20254.4,92910.2,1.86,1.86,160.5,9.7.2018; 10.7.2018; 12.7.2018,16S,Eva3_GA5_S212_L001_R1_001.fastq.gz
GA6,2,Spring,3,Teabag,Green tea,Auboden,Fluvisol,2,FALSE,0.2,3.7.2018,100,1,360,36004.9,176494.6,1.89,2.05,185.6,10.7.2018; 12.7.2018,16S,Eva9_GA6_S218_L001_R1_001.fastq.gz
