"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_983","Seq_983",0.00315409952396239,-1.13118096811577,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_718","Seq_718",0.00711974814568668,-1.12745474180057,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_82","Seq_82",0.368762140275181,-1.12693784409312,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_148","Seq_148",0.117850619706838,-1.12445567884896,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_1495","Seq_1495",0.0200518036916291,1.12429938072521,"Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Ferrovibrio"
"Seq_371","Seq_371",0.013858826991172,-1.11688851934438,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_1168","Seq_1168",0.0256363083577392,1.11491563211562,"Rare","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Paludibaculum"
"Seq_125","Seq_125",0.116095713663263,-1.10832173715094,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_37","Seq_37",0.319331642367493,-1.09969608940157,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium"
"Seq_87","Seq_87",0.0785294149387568,-1.09949643679256,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_64","Seq_64",0.648115704153384,-1.09625245022613,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga"
"Seq_599","Seq_599",0.0542751983005152,1.09430293410106,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"Seq_761","Seq_761",0.031211638905351,-1.09329400103467,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_163","Seq_163",0.150285913595269,-1.08624972008361,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_2268","Seq_2268",0.0121333032564551,-1.0843508066749,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"Seq_681","Seq_681",0.0247035593831192,1.08416363646147,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas"
"Seq_150","Seq_150",0.0534004634400358,-1.07865713152742,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_282","Seq_282",0.0974812134369505,1.07702944457794,"Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"Seq_212","Seq_212",0.117224982638138,-1.07444677869573,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_442","Seq_442",0.0197417858717882,-1.07433501147625,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"Seq_65","Seq_65",0.390050133029313,-1.07030446935576,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_2252","Seq_2252",0.00977529602059292,-1.06804152159287,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Seq_29","Seq_29",0.0283842724097172,-1.06037379303923,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_36","Seq_36",0.595772471307253,-1.06007243786849,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_710","Seq_710",0.023613712508825,-1.05925679592018,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_196","Seq_196",0.244887494525016,1.05709971156828,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_999","Seq_999",0.048112361536039,-1.05637963906125,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"Seq_396","Seq_396",0.0310563756583176,1.05463620397049,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudochrobactrum"
"Seq_506","Seq_506",0.0973793346380675,1.04828540233618,"Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Unclassified"
"Seq_318","Seq_318",0.0150969325567595,-1.04672849641573,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_68","Seq_68",0.160206466334663,-1.04625512138881,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_427","Seq_427",0.0884957207659083,-1.04493367189643,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria"
"Seq_700","Seq_700",0.022569289777598,-1.04372051106131,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_1178","Seq_1178",0.0268246882666021,1.04195976575991,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055"
"Seq_284","Seq_284",0.157106988395649,1.03791797139175,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"Seq_1364","Seq_1364",0.0168220322015271,1.02484199124063,"Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia"
"Seq_449","Seq_449",0.0242000228211619,-1.01292334330019,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_863","Seq_863",0.0424253519295015,-1.01107962538692,"Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Streptosporangium"
"Seq_692","Seq_692",0.055680747660151,1.01092399465664,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_420","Seq_420",0.0609631250974839,-1.01030744615579,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pigmentiphaga"
"Seq_241","Seq_241",0.031037431194312,-1.00575255159304,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_370","Seq_370",0.0142104482252892,-0.999210072265989,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"Seq_745","Seq_745",0.0320179400340924,0.998308560716823,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"Seq_128","Seq_128",0.0944720646426401,-0.998148784293328,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_78","Seq_78",0.275292192465471,0.996949159975122,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_308","Seq_308",0.0165520262264046,-0.993530133398527,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"Seq_107","Seq_107",0.402952335861769,-0.988720912495902,"Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"Seq_50","Seq_50",0.33235123111905,0.986106844425534,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_930","Seq_930",0.0344190623174868,-0.982959170940307,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_687","Seq_687",0.0517378235746404,0.977416604984993,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"Seq_296","Seq_296",0.01498462238747,-0.977054857620076,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_324","Seq_324",0.0515855103592029,0.974871521587025,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium"
"Seq_217","Seq_217",0.0161586284615225,-0.96938623150377,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_56","Seq_56",0.413628554282133,-0.968398556979321,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_1116","Seq_1116",0.02507704034081,0.967558658516125,"Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","Unclassified"
"Seq_357","Seq_357",0.015170403121533,-0.965012259440629,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Xylophilus"
"Seq_4","Seq_4",2.27018751490971,-0.964096291560813,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_1282","Seq_1282",0.00327742508375866,-0.96380259276007,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Seq_649","Seq_649",0.0087126558366642,-0.959542741857886,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella"
"Seq_302","Seq_302",0.120037174141698,0.959120147875735,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Seq_227","Seq_227",0.0688493425231731,-0.949652421931135,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_190","Seq_190",0.1302148156755,-0.939904568509681,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_2073","Seq_2073",0.0101024047112817,-0.938666021865962,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Alkanibacter"
"Seq_330","Seq_330",0.0893463915992408,-0.931166438600246,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"Seq_2522","Seq_2522",0.00651288033942676,-0.929516565254125,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_2892","Seq_2892",0.00468824943075741,-0.928958028176155,"Rare","Unclassified","Unclassified","Unclassified","Unclassified"
"Seq_248","Seq_248",0.0188322068559209,-0.921464559106226,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Janthinobacterium"
"Seq_394","Seq_394",0.102164394432332,0.920336755906901,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_419","Seq_419",0.0362469600732404,-0.918920090835114,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Panacagrimonas"
"Seq_174","Seq_174",0.169050223407391,-0.918910980609141,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_844","Seq_844",0.00654980996836061,-0.913298557864534,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Unclassified","Unclassified"
"Seq_407","Seq_407",0.113558129886105,0.90796020851373,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"Seq_604","Seq_604",0.0777728239844976,0.906301959627961,"Proteobacteria","Gammaproteobacteria","R7C24","Unclassified","Unclassified"
"Seq_571","Seq_571",0.0337339262074618,0.90552606371584,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
