"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_240","Seq_240",0.0803346278808006,2.39189052467525,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Limnohabitans"
"Seq_282","Seq_282",0.0953217548105402,-2.38889318250538,"Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"Seq_321","Seq_321",0.0639298804363095,2.3839659029883,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_127","Seq_127",0.154853121370775,-2.38341387424002,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Seq_50","Seq_50",0.255030668000221,-2.38207098461133,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_474","Seq_474",0.0679317943361492,-2.37941282259105,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella"
"Seq_341","Seq_341",0.0686536181877234,-2.37771740900899,"Actinobacteria","Actinobacteria","Frankiales","Cryptosporangiaceae","Cryptosporangium"
"Seq_626","Seq_626",0.0594120834715023,-2.36357366682375,"Proteobacteria","Gammaproteobacteria","CCD24","Unclassified","Unclassified"
"Seq_7","Seq_7",1.33319866973151,2.35693016706665,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea"
"Seq_409","Seq_409",0.0791564669712543,-2.31175378653273,"Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia"
"Seq_41","Seq_41",0.922586032808149,-2.28325735144142,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter"
"Seq_212","Seq_212",0.07352629410547,2.28133083189459,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_741","Seq_741",0.0292501902416881,2.28084067889201,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_527","Seq_527",0.0455417176724402,2.2745980178921,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_68","Seq_68",0.356534672114408,2.26598037471565,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_836","Seq_836",0.0427014081863901,-2.2576234824856,"Rare","Anaerolineae","SBR1031","A4b","Unclassified"
"Seq_217","Seq_217",0.116563731248689,2.24867775269832,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_298","Seq_298",0.0575218184417696,2.24672908828459,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_63","Seq_63",0.285611208212333,2.23453419212791,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_80","Seq_80",0.21876061271984,2.2220651806263,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Yersinia"
