"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_632","Seq_632",0.0667760679259011,0.618216460787738,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_180","Seq_180",0.103839896603888,0.617625724544335,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola"
"Seq_342","Seq_342",0.12692674832135,0.617358819575155,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea"
"Seq_540","Seq_540",0.0529510415868604,-0.614823407126207,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_115","Seq_115",0.251747881016964,-0.613598176780329,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Oxalicibacterium"
"Seq_1227","Seq_1227",0.0267854382270538,0.612638046083918,"Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Unclassified"
"Seq_561","Seq_561",0.0851943085193297,0.611418741248203,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_4543","Seq_4543",0.00355259009895078,-0.610699204758079,"Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Odyssella"
"Seq_144","Seq_144",0.371374328547154,0.607754017932533,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Seq_1114","Seq_1114",0.00445243677073767,-0.607198480306891,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Unclassified"
"Seq_2692","Seq_2692",0.00849903172961106,-0.607163768755955,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_178","Seq_178",0.289004445325263,0.604828895999492,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas"
"Seq_101","Seq_101",0.104309639485669,-0.603951593750049,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_832","Seq_832",0.0414556727027776,0.599736655972925,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"Seq_1322","Seq_1322",0.0198351274389023,0.597544637766282,"Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Unclassified"
"Seq_2433","Seq_2433",0.0113680692437296,0.594720317945701,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unclassified"
