"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_276","Seq_276",0.11149964428326,1.14396184578282,"Rare","Clostridia","Clostridiales","Lachnospiraceae","Anaerocolumna"
"Seq_185","Seq_185",0.143203579454668,-1.13576207924185,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Seq_780","Seq_780",0.0299748721049189,1.13147197494932,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_16","Seq_16",1.40705023988263,1.12854259306016,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_334","Seq_334",0.0145658434067076,1.12749706666586,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"Seq_582","Seq_582",0.0347115234921603,-1.12455931367781,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"Seq_481","Seq_481",0.0511371746547042,1.1210348184408,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_293","Seq_293",0.0819584468103205,1.11218041582763,"Proteobacteria","Gammaproteobacteria","Cellvibrionales","Unclassified","Unclassified"
"Seq_265","Seq_265",0.111258948483228,1.10714571102033,"Rare","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Seq_863","Seq_863",0.038879507222462,-1.10115097831149,"Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Streptosporangium"
"Seq_249","Seq_249",0.0362549595035714,-1.10052270817009,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"Seq_190","Seq_190",0.105155770975314,-1.09261330837934,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_669","Seq_669",0.00740787198919272,-1.08946789307803,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora"
"Seq_1632","Seq_1632",0.0120069525964776,1.0822183679075,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_671","Seq_671",0.0270140923319872,-1.08071588660724,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"Seq_927","Seq_927",0.0205265625588938,1.06630956795774,"Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"Seq_552","Seq_552",0.048248288960971,1.05762924078738,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_149","Seq_149",0.179269715742677,1.05322361082979,"Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"Seq_1360","Seq_1360",0.0155685456764183,1.0475923315734,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter"
"Seq_48","Seq_48",0.051890459246317,-1.04178090149331,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_709","Seq_709",0.0433435309859464,-1.02965093993023,"Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"Seq_157","Seq_157",0.0400654736963938,-1.02812803427785,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"Seq_230","Seq_230",0.115994088399225,1.02308164953062,"Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio"
"Seq_268","Seq_268",0.136109503472167,-1.02296569012997,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Filimonas"
"Seq_1173","Seq_1173",0.0155124238540752,1.00181251886024,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_2268","Seq_2268",0.0113646310423481,-1.00016006366553,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"Seq_1722","Seq_1722",0.00851312872333405,-0.99684152717992,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unclassified"
"Seq_475","Seq_475",0.0651662380046751,-0.996804332739735,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Ancylobacter"
"Seq_600","Seq_600",0.0222524993602473,-0.994990480237173,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium"
"Seq_527","Seq_527",0.0475517078729035,0.987315148085212,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_418","Seq_418",0.0411607328013022,-0.984538258766555,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_999","Seq_999",0.045142941216341,-0.984530520499921,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"Seq_1135","Seq_1135",0.0180070890584614,-0.975288698288627,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium"
"Seq_516","Seq_516",0.0376899052245415,-0.973383103847169,"Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"Seq_358","Seq_358",0.0895506322979953,-0.969696418142567,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora"
"Seq_444","Seq_444",0.00853139477863931,-0.968372323396443,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_297","Seq_297",0.0807542748252575,-0.967046321146745,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium"
"Seq_33","Seq_33",0.757184010094996,-0.960441056305588,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_35","Seq_35",0.303772254843467,-0.96041620232997,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas"
"Seq_54","Seq_54",0.37606217598473,-0.95537159548568,"Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora"
